ID,checking_balance,months_loan_duration,credit_history,purpose,amount,employment_length,installment_rate,personal_status,other_debtors,residence_history,property,age,installment_plan,housing,existing_credits,job,dependents,telephone,foreign_worker,default
205,unknown,12,critical,car (new),1495,> 7 yrs,4,single male,none,1,real estate,38,none,own,2,unskilled resident,2,none,yes,0
206,< 0 $,30,critical,car (used),10623,> 7 yrs,3,single male,none,4,unknown/none,38,none,for free,3,mangement self-employed,2,yes,yes,0
207,unknown,12,critical,furniture,1935,> 7 yrs,4,single male,none,4,real estate,43,none,own,3,skilled employee,1,yes,yes,0
208,1 - 200 $,12,critical,domestic appliances,1424,4 - 7 yrs,4,single male,none,3,building society savings,26,none,own,1,skilled employee,1,none,yes,0
209,< 0 $,24,repaid,business,6568,1 - 4 yrs,2,married male,none,2,other,21,stores,own,1,unskilled resident,1,none,yes,0
210,unknown,12,repaid,car (used),1413,4 - 7 yrs,3,single male,none,2,building society savings,55,none,own,1,skilled employee,1,none,no,0
211,unknown,9,critical,radio/tv,3074,1 - 4 yrs,1,single male,none,2,real estate,33,none,own,2,skilled employee,2,none,yes,0
212,unknown,36,repaid,radio/tv,3835,> 7 yrs,2,female,none,4,real estate,45,none,own,1,unskilled resident,1,yes,yes,0
213,< 0 $,27,fully repaid,business,5293,unemployed,2,single male,none,4,building society savings,50,stores,own,2,skilled employee,1,yes,yes,1
214,> 200 $,30,delayed,business,1908,> 7 yrs,4,single male,none,4,real estate,66,none,own,1,mangement self-employed,1,yes,yes,1
215,unknown,36,critical,radio/tv,3342,> 7 yrs,4,single male,none,2,other,51,none,own,1,skilled employee,1,yes,yes,0
216,1 - 200 $,6,critical,retraining,932,4 - 7 yrs,1,female,none,3,building society savings,39,none,own,2,unskilled resident,1,none,yes,0
217,< 0 $,18,fully repaid,business,3104,4 - 7 yrs,3,single male,none,1,building society savings,31,bank,own,1,skilled employee,1,yes,yes,0
218,> 200 $,36,repaid,radio/tv,3913,1 - 4 yrs,2,single male,none,2,real estate,23,none,own,1,skilled employee,1,yes,yes,0
219,< 0 $,24,repaid,furniture,3021,1 - 4 yrs,2,divorced male,none,2,real estate,24,none,rent,1,unskilled resident,1,none,yes,0
220,unknown,10,repaid,car (new),1364,1 - 4 yrs,2,female,none,4,other,64,none,own,1,skilled employee,1,yes,yes,0
221,1 - 200 $,12,repaid,radio/tv,625,0 - 1 yrs,4,married male,guarantor,1,real estate,26,bank,own,1,unskilled resident,1,none,yes,0
222,< 0 $,12,repaid,education,1200,1 - 4 yrs,4,female,none,4,building society savings,23,bank,rent,1,skilled employee,1,yes,yes,0
223,unknown,12,repaid,radio/tv,707,1 - 4 yrs,4,single male,none,2,real estate,30,bank,own,2,skilled employee,1,none,yes,0
224,unknown,24,delayed,business,2978,1 - 4 yrs,4,single male,none,4,real estate,32,none,own,2,skilled employee,2,yes,yes,0
225,unknown,15,repaid,car (used),4657,1 - 4 yrs,3,single male,none,2,other,30,none,own,1,skilled employee,1,yes,yes,0
226,unknown,36,fully repaid,repairs,2613,1 - 4 yrs,4,single male,none,2,other,27,none,own,2,skilled employee,1,none,yes,0
227,1 - 200 $,48,repaid,radio/tv,10961,4 - 7 yrs,1,single male,co-applicant,2,unknown/none,27,bank,own,2,skilled employee,1,yes,yes,1
228,< 0 $,12,repaid,furniture,7865,> 7 yrs,4,single male,none,4,unknown/none,53,none,for free,1,mangement self-employed,1,yes,yes,1
229,unknown,9,repaid,radio/tv,1478,4 - 7 yrs,4,single male,none,2,other,22,none,own,1,skilled employee,1,none,yes,1
230,< 0 $,24,repaid,furniture,3149,0 - 1 yrs,4,single male,none,1,unknown/none,22,bank,for free,1,skilled employee,1,none,yes,0
231,> 200 $,36,repaid,radio/tv,4210,1 - 4 yrs,4,single male,none,2,other,26,none,own,1,skilled employee,1,none,yes,1
232,unknown,9,repaid,car (new),2507,> 7 yrs,2,single male,none,4,unknown/none,51,none,for free,1,unskilled resident,1,none,yes,0
233,unknown,12,repaid,radio/tv,2141,4 - 7 yrs,3,single male,none,1,unknown/none,35,none,own,1,skilled employee,1,none,yes,0
234,1 - 200 $,18,repaid,radio/tv,866,1 - 4 yrs,4,married male,guarantor,2,real estate,25,none,own,1,unskilled resident,1,none,yes,0
235,unknown,4,critical,radio/tv,1544,4 - 7 yrs,2,single male,none,1,real estate,42,none,own,3,unskilled resident,2,none,yes,0
236,< 0 $,24,repaid,radio/tv,1823,unemployed,4,single male,none,2,other,30,stores,own,1,mangement self-employed,2,none,yes,1
237,1 - 200 $,6,repaid,car (new),14555,unemployed,1,single male,none,2,building society savings,23,none,own,1,unemployed non-resident,1,yes,yes,1
238,1 - 200 $,21,repaid,business,2767,> 7 yrs,4,divorced male,none,2,other,61,bank,rent,2,unskilled resident,1,none,yes,1
239,unknown,12,critical,radio/tv,1291,1 - 4 yrs,4,female,none,2,building society savings,35,none,own,2,skilled employee,1,none,yes,0
240,< 0 $,30,repaid,radio/tv,2522,> 7 yrs,1,single male,guarantor,3,building society savings,39,none,own,1,skilled employee,2,none,yes,0
241,< 0 $,24,repaid,car (new),915,> 7 yrs,4,female,none,2,other,29,bank,own,1,skilled employee,1,none,yes,1
242,unknown,6,repaid,radio/tv,1595,4 - 7 yrs,3,single male,none,2,building society savings,51,none,own,1,skilled employee,2,none,yes,0
243,< 0 $,48,fully repaid,car (used),4605,> 7 yrs,3,single male,none,4,unknown/none,24,none,for free,2,skilled employee,2,none,yes,1
244,unknown,12,critical,business,1185,1 - 4 yrs,3,female,none,2,real estate,27,none,own,2,skilled employee,1,none,yes,0
245,unknown,12,fully repaid this bank,retraining,3447,1 - 4 yrs,4,female,none,3,real estate,35,none,own,1,unskilled resident,2,none,yes,0
246,unknown,24,repaid,business,1258,4 - 7 yrs,4,single male,none,1,real estate,25,none,own,1,skilled employee,1,yes,yes,0
247,unknown,12,critical,radio/tv,717,> 7 yrs,4,single male,none,4,real estate,52,none,own,3,skilled employee,1,none,yes,0
248,unknown,6,fully repaid,car (new),1204,1 - 4 yrs,4,single male,none,1,unknown/none,35,bank,rent,1,skilled employee,1,none,no,0
249,> 200 $,24,repaid,furniture,1925,1 - 4 yrs,2,single male,none,2,real estate,26,none,own,1,skilled employee,1,none,yes,0
250,unknown,18,repaid,radio/tv,433,unemployed,3,female,co-applicant,4,real estate,22,none,rent,1,skilled employee,1,none,yes,1
251,< 0 $,6,critical,car (new),666,4 - 7 yrs,3,female,none,4,real estate,39,none,own,2,unskilled resident,1,yes,yes,0
252,> 200 $,12,repaid,furniture,2251,1 - 4 yrs,1,female,none,2,other,46,none,own,1,unskilled resident,1,none,yes,0
253,1 - 200 $,30,repaid,car (new),2150,1 - 4 yrs,4,female,guarantor,2,unknown/none,24,bank,own,1,skilled employee,1,none,yes,1
254,unknown,24,delayed,furniture,4151,1 - 4 yrs,2,single male,none,3,building society savings,35,none,own,2,skilled employee,1,none,yes,0
255,1 - 200 $,9,repaid,furniture,2030,4 - 7 yrs,2,single male,none,1,other,24,none,own,1,skilled employee,1,yes,yes,0
256,1 - 200 $,60,delayed,radio/tv,7418,1 - 4 yrs,1,single male,none,1,real estate,27,none,own,1,unskilled resident,1,none,yes,0
257,unknown,24,critical,radio/tv,2684,1 - 4 yrs,4,single male,none,2,real estate,35,none,own,2,unskilled resident,1,none,yes,0
258,< 0 $,12,fully repaid this bank,radio/tv,2149,1 - 4 yrs,4,divorced male,none,1,unknown/none,29,none,for free,1,skilled employee,1,none,yes,1
259,unknown,15,repaid,car (used),3812,0 - 1 yrs,1,female,none,4,other,23,none,own,1,skilled employee,1,yes,yes,0
260,unknown,11,critical,radio/tv,1154,unemployed,4,female,none,4,real estate,57,none,own,3,unskilled resident,1,none,yes,0
261,< 0 $,12,repaid,furniture,1657,1 - 4 yrs,2,single male,none,2,real estate,27,none,own,1,skilled employee,1,none,yes,0
262,< 0 $,24,repaid,radio/tv,1603,> 7 yrs,4,female,none,4,other,55,none,own,1,skilled employee,1,none,yes,0
263,< 0 $,18,critical,car (new),5302,> 7 yrs,2,single male,none,4,unknown/none,36,none,for free,3,mangement self-employed,1,yes,yes,0
264,unknown,12,critical,education,2748,> 7 yrs,2,female,none,4,unknown/none,57,bank,for free,3,unskilled resident,1,none,yes,0
265,unknown,10,critical,car (new),1231,> 7 yrs,3,single male,none,4,real estate,32,none,own,2,unskilled resident,2,none,no,0
266,1 - 200 $,15,repaid,radio/tv,802,> 7 yrs,4,single male,none,3,other,37,none,own,1,skilled employee,2,none,yes,1
267,unknown,36,critical,business,6304,> 7 yrs,4,single male,none,4,real estate,36,none,own,2,skilled employee,1,none,yes,0
268,unknown,24,repaid,radio/tv,1533,0 - 1 yrs,4,female,none,3,other,38,stores,own,1,skilled employee,1,yes,yes,0
269,< 0 $,14,repaid,car (new),8978,> 7 yrs,1,divorced male,none,4,building society savings,45,none,own,1,mangement self-employed,1,yes,no,1
270,unknown,24,repaid,radio/tv,999,> 7 yrs,4,single male,none,2,other,25,none,own,2,skilled employee,1,none,yes,0
271,unknown,18,repaid,car (new),2662,4 - 7 yrs,4,single male,none,3,building society savings,32,none,own,1,skilled employee,1,none,no,0
272,unknown,12,critical,furniture,1402,4 - 7 yrs,3,female,none,4,other,37,none,rent,1,skilled employee,1,yes,yes,0
273,1 - 200 $,48,fully repaid this bank,car (new),12169,unemployed,4,single male,co-applicant,4,unknown/none,36,none,for free,1,mangement self-employed,1,yes,yes,0
274,1 - 200 $,48,repaid,radio/tv,3060,4 - 7 yrs,4,single male,none,4,real estate,28,none,own,2,skilled employee,1,none,yes,1
275,< 0 $,30,repaid,repairs,11998,0 - 1 yrs,1,divorced male,none,1,unknown/none,34,none,own,1,unskilled resident,1,yes,yes,1
276,unknown,9,repaid,radio/tv,2697,1 - 4 yrs,1,single male,none,2,real estate,32,none,own,1,skilled employee,2,none,yes,0
277,unknown,18,critical,radio/tv,2404,1 - 4 yrs,2,female,none,2,other,26,none,own,2,skilled employee,1,none,yes,0
278,< 0 $,12,repaid,furniture,1262,> 7 yrs,2,divorced male,none,4,building society savings,49,none,own,1,unskilled resident,1,yes,yes,0
279,unknown,6,repaid,furniture,4611,0 - 1 yrs,1,female,none,4,building society savings,32,none,own,1,skilled employee,1,none,yes,1
280,unknown,24,repaid,radio/tv,1901,1 - 4 yrs,4,single male,none,4,other,29,none,rent,1,mangement self-employed,1,yes,yes,0
281,unknown,15,critical,car (used),3368,> 7 yrs,3,single male,none,4,unknown/none,23,none,rent,2,skilled employee,1,yes,yes,0
282,unknown,12,repaid,furniture,1574,1 - 4 yrs,4,single male,none,2,real estate,50,none,own,1,skilled employee,1,none,yes,0
283,> 200 $,18,fully repaid this bank,radio/tv,1445,4 - 7 yrs,4,single male,none,4,other,49,bank,own,1,unskilled resident,1,none,yes,0
284,unknown,15,critical,furniture,1520,> 7 yrs,4,single male,none,4,building society savings,63,none,own,1,skilled employee,1,none,yes,0
285,1 - 200 $,24,critical,car (new),3878,0 - 1 yrs,4,divorced male,none,2,other,37,none,own,1,skilled employee,1,yes,yes,0
286,< 0 $,47,repaid,car (new),10722,0 - 1 yrs,1,female,none,1,real estate,35,none,own,1,unskilled resident,1,yes,yes,0
287,< 0 $,48,repaid,car (used),4788,4 - 7 yrs,4,single male,none,3,building society savings,26,none,own,1,skilled employee,2,none,yes,0
288,1 - 200 $,48,delayed,others,7582,unemployed,2,single male,none,4,unknown/none,31,none,for free,1,mangement self-employed,1,yes,yes,0
289,1 - 200 $,12,repaid,radio/tv,1092,1 - 4 yrs,4,female,guarantor,4,real estate,49,none,own,2,skilled employee,1,yes,yes,0
290,< 0 $,24,delayed,radio/tv,1024,0 - 1 yrs,4,married male,none,4,real estate,48,stores,own,1,skilled employee,1,none,yes,1
291,unknown,12,repaid,business,1076,1 - 4 yrs,2,married male,none,2,real estate,26,none,own,1,skilled employee,1,yes,no,0
292,1 - 200 $,36,repaid,car (used),9398,0 - 1 yrs,1,married male,none,4,other,28,none,rent,1,mangement self-employed,1,yes,yes,1
293,< 0 $,24,critical,car (used),6419,> 7 yrs,2,female,none,4,unknown/none,44,none,for free,2,mangement self-employed,2,yes,yes,0
294,> 200 $,42,critical,car (used),4796,> 7 yrs,4,single male,none,4,unknown/none,56,none,for free,1,skilled employee,1,none,yes,0
295,unknown,48,critical,business,7629,> 7 yrs,4,divorced male,none,2,other,46,bank,own,2,mangement self-employed,2,none,yes,0
296,1 - 200 $,48,repaid,furniture,9960,0 - 1 yrs,1,female,none,2,other,26,none,own,1,skilled employee,1,yes,yes,1
297,unknown,12,repaid,car (used),4675,0 - 1 yrs,1,female,none,4,other,20,none,rent,1,skilled employee,1,none,yes,0
298,unknown,10,repaid,car (new),1287,> 7 yrs,4,single male,co-applicant,2,building society savings,45,none,own,1,unskilled resident,1,none,no,0
299,unknown,18,repaid,furniture,2515,1 - 4 yrs,3,single male,none,4,real estate,43,none,own,1,skilled employee,1,yes,yes,0
300,1 - 200 $,21,critical,furniture,2745,4 - 7 yrs,3,single male,none,2,other,32,none,own,2,skilled employee,1,yes,yes,0
301,unknown,6,repaid,car (new),672,unemployed,1,female,none,4,real estate,54,none,own,1,unemployed non-resident,1,yes,yes,0
302,1 - 200 $,36,fully repaid,radio/tv,3804,1 - 4 yrs,4,female,none,1,other,42,none,own,1,skilled employee,1,yes,yes,1
303,> 200 $,24,critical,car (new),1344,4 - 7 yrs,4,single male,none,2,real estate,37,bank,own,2,unskilled resident,2,none,yes,1
304,< 0 $,10,critical,car (new),1038,4 - 7 yrs,4,single male,co-applicant,3,building society savings,49,none,own,2,skilled employee,1,yes,yes,0
305,unknown,48,critical,car (new),10127,1 - 4 yrs,2,single male,none,2,unknown/none,44,bank,for free,1,skilled employee,1,none,yes,1
306,unknown,6,repaid,furniture,1543,1 - 4 yrs,4,divorced male,none,2,real estate,33,none,own,1,skilled employee,1,none,yes,0
307,unknown,30,repaid,car (used),4811,4 - 7 yrs,2,female,none,4,building society savings,24,stores,rent,1,unskilled resident,1,none,yes,0
308,< 0 $,12,repaid,radio/tv,727,0 - 1 yrs,4,married male,none,3,unknown/none,33,none,own,1,unskilled resident,1,yes,yes,1
309,1 - 200 $,8,repaid,furniture,1237,1 - 4 yrs,3,female,none,4,real estate,24,none,own,1,skilled employee,1,none,yes,1
310,1 - 200 $,9,repaid,car (new),276,1 - 4 yrs,4,married male,none,4,real estate,22,none,rent,1,unskilled resident,1,none,yes,0
311,1 - 200 $,48,repaid,others,5381,unemployed,3,single male,none,4,unknown/none,40,bank,for free,1,unemployed non-resident,1,yes,yes,0
312,unknown,24,repaid,furniture,5511,1 - 4 yrs,4,single male,none,1,other,25,stores,own,1,skilled employee,1,none,yes,0
313,> 200 $,24,repaid,furniture,3749,0 - 1 yrs,2,female,none,4,other,26,none,own,1,skilled employee,1,none,yes,0
314,1 - 200 $,12,repaid,car (new),685,4 - 7 yrs,2,married male,none,3,other,25,bank,own,1,unskilled resident,1,none,yes,1
315,> 200 $,4,repaid,car (new),1494,0 - 1 yrs,1,single male,none,2,real estate,29,none,own,1,unskilled resident,2,none,no,0
316,< 0 $,36,fully repaid this bank,furniture,2746,> 7 yrs,4,single male,none,4,other,31,bank,own,1,skilled employee,1,none,yes,1
317,< 0 $,12,repaid,furniture,708,1 - 4 yrs,2,single male,guarantor,3,building society savings,38,none,own,1,unskilled resident,2,none,yes,0
318,1 - 200 $,24,repaid,furniture,4351,1 - 4 yrs,1,female,none,4,building society savings,48,none,own,1,unskilled resident,1,yes,yes,0
319,unknown,12,critical,education,701,1 - 4 yrs,4,single male,none,2,other,32,none,own,2,skilled employee,1,none,yes,0
320,< 0 $,15,delayed,furniture,3643,> 7 yrs,1,female,none,4,building society savings,27,none,own,2,unskilled resident,1,none,yes,0
321,1 - 200 $,30,critical,car (new),4249,unemployed,4,married male,none,2,other,28,none,own,2,mangement self-employed,1,none,yes,1
322,< 0 $,24,repaid,radio/tv,1938,0 - 1 yrs,4,divorced male,none,3,building society savings,32,none,own,1,skilled employee,1,none,yes,1
323,< 0 $,24,repaid,car (used),2910,4 - 7 yrs,2,single male,none,1,unknown/none,34,none,for free,1,mangement self-employed,1,yes,yes,0
324,< 0 $,18,repaid,furniture,2659,1 - 4 yrs,4,single male,none,2,other,28,none,own,1,skilled employee,1,none,yes,0
325,unknown,18,critical,car (new),1028,1 - 4 yrs,4,female,none,3,real estate,36,none,own,2,skilled employee,1,none,yes,0
326,< 0 $,8,critical,car (new),3398,4 - 7 yrs,1,single male,none,4,real estate,39,none,own,2,unskilled resident,1,none,no,0
327,unknown,12,critical,furniture,5801,> 7 yrs,2,single male,none,4,building society savings,49,none,rent,1,skilled employee,1,yes,yes,0
328,unknown,24,repaid,car (new),1525,4 - 7 yrs,4,female,none,3,other,34,none,own,1,skilled employee,2,yes,yes,0
329,> 200 $,36,repaid,radio/tv,4473,> 7 yrs,4,single male,none,2,other,31,none,own,1,skilled employee,1,none,yes,0
330,1 - 200 $,6,repaid,radio/tv,1068,> 7 yrs,4,single male,none,4,other,28,none,own,1,skilled employee,2,none,yes,0
331,< 0 $,24,critical,car (used),6615,unemployed,2,single male,none,4,unknown/none,75,none,for free,2,mangement self-employed,1,yes,yes,0
332,unknown,18,critical,education,1864,1 - 4 yrs,4,female,none,2,real estate,30,none,own,2,skilled employee,1,none,yes,1
333,1 - 200 $,60,repaid,car (new),7408,0 - 1 yrs,4,female,none,2,building society savings,24,none,own,1,mangement self-employed,1,none,yes,1
334,unknown,48,critical,car (used),11590,1 - 4 yrs,2,female,none,4,other,24,bank,rent,2,unskilled resident,1,none,yes,1
335,< 0 $,24,fully repaid,furniture,4110,> 7 yrs,3,single male,none,4,unknown/none,23,bank,rent,2,skilled employee,2,none,yes,1
336,< 0 $,6,critical,furniture,3384,1 - 4 yrs,1,divorced male,none,4,real estate,44,none,rent,1,mangement self-employed,1,yes,yes,1
337,1 - 200 $,13,repaid,radio/tv,2101,0 - 1 yrs,2,female,guarantor,4,building society savings,23,none,own,1,unskilled resident,1,none,yes,0
338,< 0 $,15,repaid,domestic appliances,1275,1 - 4 yrs,4,female,none,2,other,24,none,rent,1,skilled employee,1,none,yes,1
339,< 0 $,24,repaid,furniture,4169,1 - 4 yrs,4,single male,none,4,building society savings,28,none,own,1,skilled employee,1,none,yes,0
340,1 - 200 $,10,repaid,furniture,1521,1 - 4 yrs,4,divorced male,none,2,other,31,none,own,1,unskilled resident,1,none,yes,0
341,1 - 200 $,24,critical,education,5743,0 - 1 yrs,2,female,none,4,unknown/none,24,none,for free,2,skilled employee,1,yes,yes,0
342,< 0 $,21,repaid,furniture,3599,4 - 7 yrs,1,female,none,4,other,26,none,rent,1,unskilled resident,1,none,yes,0
343,1 - 200 $,18,repaid,radio/tv,3213,0 - 1 yrs,1,married male,none,3,real estate,25,none,rent,1,skilled employee,1,none,yes,0
344,1 - 200 $,18,repaid,business,4439,> 7 yrs,1,single male,co-applicant,1,real estate,33,bank,own,1,mangement self-employed,1,yes,yes,0
345,> 200 $,10,repaid,car (new),3949,0 - 1 yrs,1,single male,guarantor,1,building society savings,37,none,own,1,unskilled resident,2,none,yes,0
346,unknown,15,critical,radio/tv,1459,1 - 4 yrs,4,female,none,2,other,43,none,own,1,unskilled resident,1,none,yes,0
347,1 - 200 $,13,critical,radio/tv,882,0 - 1 yrs,4,single male,guarantor,4,real estate,23,none,own,2,skilled employee,1,none,yes,0
348,1 - 200 $,24,repaid,radio/tv,3758,unemployed,1,female,none,4,unknown/none,23,none,rent,1,unemployed non-resident,1,none,yes,0
349,unknown,6,delayed,business,1743,1 - 4 yrs,1,single male,none,2,real estate,34,none,own,2,unskilled resident,1,none,yes,0
350,1 - 200 $,9,critical,education,1136,> 7 yrs,4,single male,none,3,unknown/none,32,none,for free,2,skilled employee,2,none,yes,1
351,unknown,9,repaid,domestic appliances,1236,0 - 1 yrs,1,female,none,4,real estate,23,none,rent,1,skilled employee,1,yes,yes,0
352,1 - 200 $,9,repaid,furniture,959,1 - 4 yrs,1,female,none,2,other,29,none,own,1,skilled employee,1,none,no,1
353,unknown,18,critical,car (used),3229,unemployed,2,single male,none,4,unknown/none,38,none,own,1,mangement self-employed,1,yes,yes,0
354,< 0 $,12,fully repaid,radio/tv,6199,1 - 4 yrs,4,single male,none,2,building society savings,28,none,rent,2,skilled employee,1,yes,yes,1
355,unknown,10,repaid,education,727,> 7 yrs,4,single male,none,4,unknown/none,46,none,for free,1,skilled employee,1,yes,yes,0
356,1 - 200 $,24,repaid,car (new),1246,0 - 1 yrs,4,single male,none,2,real estate,23,stores,own,1,unskilled resident,1,none,yes,1
357,unknown,12,critical,radio/tv,2331,> 7 yrs,1,single male,co-applicant,4,real estate,49,none,own,1,skilled employee,1,yes,yes,0
358,unknown,36,delayed,radio/tv,4463,1 - 4 yrs,4,single male,none,2,other,26,none,own,2,mangement self-employed,1,yes,yes,1
359,unknown,12,repaid,radio/tv,776,1 - 4 yrs,4,married male,none,2,real estate,28,none,own,1,skilled employee,1,none,yes,0
360,< 0 $,30,repaid,furniture,2406,4 - 7 yrs,4,female,none,4,real estate,23,none,rent,1,skilled employee,1,none,yes,1
361,1 - 200 $,18,repaid,education,1239,1 - 4 yrs,4,single male,none,4,unknown/none,61,none,for free,1,skilled employee,1,none,yes,0
362,> 200 $,12,repaid,radio/tv,3399,> 7 yrs,2,single male,none,3,other,37,none,own,1,mangement self-employed,1,none,yes,0
363,> 200 $,12,delayed,car (new),2247,1 - 4 yrs,2,female,none,2,other,36,stores,own,2,skilled employee,1,yes,yes,0
364,unknown,6,repaid,furniture,1766,1 - 4 yrs,1,married male,none,2,building society savings,21,none,rent,1,skilled employee,1,none,yes,0
365,< 0 $,18,repaid,furniture,2473,unemployed,4,single male,none,1,other,25,none,own,1,unemployed non-resident,1,none,yes,1
366,unknown,12,repaid,business,1542,4 - 7 yrs,2,single male,none,4,other,36,none,own,1,skilled employee,1,yes,yes,0
367,unknown,18,critical,car (used),3850,4 - 7 yrs,3,single male,none,1,other,27,none,own,2,skilled employee,1,none,yes,0
368,< 0 $,18,repaid,furniture,3650,0 - 1 yrs,1,female,none,4,other,22,none,rent,1,skilled employee,1,none,yes,0
369,< 0 $,36,repaid,furniture,3446,> 7 yrs,4,single male,none,2,other,42,none,own,1,skilled employee,2,none,yes,1
370,1 - 200 $,18,repaid,furniture,3001,4 - 7 yrs,2,female,none,4,real estate,40,none,rent,1,skilled employee,1,none,yes,0
371,unknown,36,repaid,car (new),3079,1 - 4 yrs,4,single male,none,4,real estate,36,none,own,1,skilled employee,1,none,yes,0
372,unknown,18,critical,radio/tv,6070,> 7 yrs,3,single male,none,4,other,33,none,own,2,skilled employee,1,yes,yes,0
373,unknown,10,critical,furniture,2146,0 - 1 yrs,1,female,none,3,real estate,23,none,rent,2,skilled employee,1,none,yes,0
374,unknown,60,critical,car (new),13756,> 7 yrs,2,single male,none,4,unknown/none,63,bank,for free,1,mangement self-employed,1,yes,yes,0
375,1 - 200 $,60,fully repaid this bank,others,14782,> 7 yrs,3,female,none,4,unknown/none,60,bank,for free,2,mangement self-employed,1,yes,yes,1
376,< 0 $,48,fully repaid this bank,business,7685,4 - 7 yrs,2,female,guarantor,4,other,37,none,rent,1,skilled employee,1,none,yes,1
377,unknown,18,delayed,radio/tv,2320,unemployed,2,married male,none,3,real estate,34,none,own,2,skilled employee,1,none,yes,0
378,unknown,7,delayed,radio/tv,846,> 7 yrs,3,single male,none,4,unknown/none,36,none,for free,1,skilled employee,1,none,yes,0
379,1 - 200 $,36,repaid,car (new),14318,> 7 yrs,4,single male,none,2,unknown/none,57,none,for free,1,mangement self-employed,1,yes,yes,1
380,unknown,6,critical,car (new),362,1 - 4 yrs,4,female,none,4,other,52,none,own,2,unskilled resident,1,none,yes,0
381,< 0 $,20,repaid,furniture,2212,4 - 7 yrs,4,single male,none,4,other,39,none,own,1,skilled employee,1,yes,yes,0
382,1 - 200 $,18,repaid,car (used),12976,unemployed,3,female,none,4,unknown/none,38,none,for free,1,mangement self-employed,1,yes,yes,1
383,unknown,22,repaid,car (new),1283,4 - 7 yrs,4,female,none,4,building society savings,25,none,rent,1,skilled employee,1,none,yes,0
384,> 200 $,12,repaid,car (new),1330,0 - 1 yrs,4,single male,none,1,real estate,26,none,own,1,skilled employee,1,none,yes,0
385,unknown,30,delayed,business,4272,1 - 4 yrs,2,single male,none,2,building society savings,26,none,own,2,unskilled resident,1,none,yes,0
386,unknown,18,critical,radio/tv,2238,1 - 4 yrs,2,female,none,1,other,25,none,own,2,skilled employee,1,none,yes,0
387,unknown,18,repaid,radio/tv,1126,0 - 1 yrs,4,female,none,2,real estate,21,none,rent,1,skilled employee,1,yes,yes,0
388,1 - 200 $,18,critical,furniture,7374,unemployed,4,single male,none,4,building society savings,40,stores,own,2,mangement self-employed,1,yes,yes,0
389,1 - 200 $,15,critical,business,2326,1 - 4 yrs,2,single male,none,4,other,27,bank,own,1,skilled employee,1,none,yes,0
390,unknown,9,repaid,business,1449,4 - 7 yrs,3,female,none,2,other,27,none,own,2,skilled employee,1,none,yes,0
391,unknown,18,repaid,car (new),1820,1 - 4 yrs,2,married male,none,2,building society savings,30,none,own,1,mangement self-employed,1,yes,yes,0
392,1 - 200 $,12,repaid,furniture,983,0 - 1 yrs,1,female,none,4,real estate,19,none,rent,1,unskilled resident,1,none,yes,0
393,< 0 $,36,repaid,car (new),3249,4 - 7 yrs,2,single male,none,4,unknown/none,39,bank,for free,1,mangement self-employed,2,yes,yes,0
394,< 0 $,6,critical,radio/tv,1957,4 - 7 yrs,1,female,none,4,other,31,none,own,1,skilled employee,1,none,yes,0
395,unknown,9,critical,furniture,2406,unemployed,2,single male,none,3,other,31,none,own,1,mangement self-employed,1,none,yes,0
396,1 - 200 $,39,delayed,education,11760,4 - 7 yrs,2,single male,none,3,unknown/none,32,none,rent,1,skilled employee,1,yes,yes,0
397,< 0 $,12,repaid,furniture,2578,unemployed,3,female,none,4,unknown/none,55,none,for free,1,mangement self-employed,1,none,yes,0
398,< 0 $,36,critical,furniture,2348,1 - 4 yrs,3,married male,none,2,building society savings,46,none,own,2,skilled employee,1,yes,yes,0
399,1 - 200 $,12,repaid,car (new),1223,> 7 yrs,1,divorced male,none,1,real estate,46,none,rent,2,skilled employee,1,none,yes,1
400,unknown,24,critical,radio/tv,1516,1 - 4 yrs,4,female,none,1,real estate,43,none,own,2,unskilled resident,1,none,yes,0
401,unknown,18,repaid,radio/tv,1473,0 - 1 yrs,3,married male,none,4,real estate,39,none,own,1,skilled employee,1,yes,yes,0
402,1 - 200 $,18,critical,business,1887,1 - 4 yrs,4,married male,none,4,real estate,28,bank,own,2,skilled employee,1,none,yes,0
403,unknown,24,delayed,business,8648,0 - 1 yrs,2,single male,none,2,other,27,bank,own,2,skilled employee,1,yes,yes,1
404,unknown,14,delayed,car (new),802,1 - 4 yrs,4,single male,none,2,other,27,none,own,2,unskilled resident,1,none,yes,0
405,1 - 200 $,18,delayed,car (new),2899,> 7 yrs,4,single male,none,4,other,43,none,own,1,skilled employee,2,none,yes,0
406,1 - 200 $,24,repaid,radio/tv,2039,0 - 1 yrs,1,married male,none,1,building society savings,22,none,own,1,skilled employee,1,yes,yes,1
407,unknown,24,critical,car (used),2197,4 - 7 yrs,4,single male,none,4,other,43,none,own,2,skilled employee,2,yes,yes,0
408,< 0 $,15,repaid,radio/tv,1053,0 - 1 yrs,4,married male,none,2,real estate,27,none,own,1,skilled employee,1,none,no,0
409,unknown,24,repaid,radio/tv,3235,> 7 yrs,3,divorced male,none,2,other,26,none,own,1,mangement self-employed,1,yes,yes,0
410,> 200 $,12,critical,car (new),939,4 - 7 yrs,4,married male,none,2,real estate,28,none,own,3,skilled employee,1,yes,yes,1
